"derived_class","base_class","file_path"
"firebase::firestore::jni::Local<TaskCompletionSource>","firebase::firestore::TaskCompletionSource","firestore/src/jni/ownership.h"
"firebase::firestore::jni::Method<Task>","firebase::firestore::jni::MethodBase","firestore/src/jni/declaration.h"
"firebase::firestore::jni::Constructor<TaskCompletionSource>","firebase::firestore::jni::ConstructorBase","firestore/src/jni/declaration.h"
"firebase::firestore::TimestampInternal","firebase::firestore::jni::Object","firestore/src/android/timestamp_android.h"
"firebase::firestore::jni::Local<TimestampInternal>","firebase::firestore::TimestampInternal","firestore/src/jni/ownership.h"
"firebase::firestore::TransactionOptionsInternal","firebase::firestore::jni::Object","firestore/src/android/transaction_options_android.h"
"firebase::firestore::jni::Local<TransactionOptionsInternal>","firebase::firestore::TransactionOptionsInternal","firestore/src/jni/ownership.h"
"firebase::firestore::TransactionOptionsBuilderInternal","firebase::firestore::jni::Object","firestore/src/android/transaction_options_builder_android.h"
"firebase::firestore::jni::Local<TransactionOptionsBuilderInternal>","firebase::firestore::TransactionOptionsBuilderInternal","firestore/src/jni/ownership.h"
"firebase::firestore::FirestoreTest","firebase::firestore::FirestoreIntegrationTest","firestore/integration_test_internal/src/firestore_test.cc"
"firebase::firestore::jni::Map","firebase::firestore::jni::Object","firestore/src/jni/map.h"
"firebase::firestore::jni::HashMap","firebase::firestore::jni::Map","firestore/src/jni/hash_map.h"
"firebase::firestore::jni::Iterator","firebase::firestore::jni::Object","firestore/src/jni/iterator.h"
"firebase::firestore::jni::Collection","firebase::firestore::jni::Object","firestore/src/jni/collection.h"
"firebase::firestore::jni::Local<HashMap>","firebase::firestore::jni::HashMap","firestore/src/jni/ownership.h"
"firebase::firestore::Promise<PublicType, InternalType, FnEnumType>::Completer<AggregateQuerySnapshot, AggregateQuerySnapshotInternal, void>","firebase::firestore::Promise<PublicType, InternalType, FnEnumType>::CompleterBase<AggregateQuerySnapshot>","firestore/src/android/promise_android.h"
"firebase::firestore::jni::Method<int>","firebase::firestore::jni::MethodBase","firestore/src/jni/declaration.h"
"firebase::firestore::jni::Local<Class>","firebase::firestore::jni::Class","firestore/src/jni/ownership.h"
"firebase::firestore::jni::StaticMethod<Object>","firebase::firestore::jni::StaticMethodBase","firestore/src/jni/declaration.h"
"firebase::firestore::jni::Method<long long>","firebase::firestore::jni::MethodBase","firestore/src/jni/declaration.h"
"firebase::firestore::jni::StaticField<Object>","firebase::firestore::jni::StaticFieldBase","firestore/src/jni/declaration.h"
"firebase::firestore::BlobInternal","firebase::firestore::jni::Object","firestore/src/android/blob_android.h"
"firebase::firestore::jni::Local<BlobInternal>","firebase::firestore::BlobInternal","firestore/src/jni/ownership.h"
"firebase::firestore::jni::Method<Array<unsigned char>>","firebase::firestore::jni::MethodBase","firestore/src/jni/declaration.h"
"firebase::firestore::jni::StaticMethod<BlobInternal>","firebase::firestore::jni::StaticMethodBase","firestore/src/jni/declaration.h"
"firebase::firestore::jni::Method<String>","firebase::firestore::jni::MethodBase","firestore/src/jni/declaration.h"
"firebase::firestore::Promise<PublicType, InternalType, FnEnumType>::Completer<DocumentReference, DocumentReferenceInternal, void>","firebase::firestore::Promise<PublicType, InternalType, FnEnumType>::CompleterBase<DocumentReference>","firestore/src/android/promise_android.h"
"firebase::firestore::jni::Array<Object>","firebase::firestore::jni::Object","firestore/src/jni/array.h"
"firebase::firestore::jni::Local<Array<Object>>","firebase::firestore::jni::Array<Object>","firestore/src/jni/ownership.h"
"firebase::firestore::Promise<PublicType, InternalType, FnEnumType>::Completer<DocumentSnapshot, DocumentSnapshotInternal, void>","firebase::firestore::Promise<PublicType, InternalType, FnEnumType>::CompleterBase<DocumentSnapshot>","firestore/src/android/promise_android.h"
"firebase::firestore::DocumentChangeTypeInternal","firebase::firestore::jni::Object","firestore/src/android/document_change_type_android.h"
"firebase::firestore::jni::Local<DocumentChangeTypeInternal>","firebase::firestore::DocumentChangeTypeInternal","firestore/src/jni/ownership.h"
"firebase::firestore::jni::Method<unsigned long>","firebase::firestore::jni::MethodBase","firestore/src/jni/declaration.h"
"firebase::firestore::jni::Method<DocumentChangeTypeInternal>","firebase::firestore::jni::MethodBase","firestore/src/jni/declaration.h"
"firebase::firestore::jni::List","firebase::firestore::jni::Collection","firestore/src/jni/list.h"
"firebase::firestore::LambdaEventListener<DocumentSnapshot>","firebase::firestore::EventListener<DocumentSnapshot>","firestore/src/android/lambda_event_listener.h"
"firebase::firestore::jni::Method<bool>","firebase::firestore::jni::MethodBase","firestore/src/jni/declaration.h"
"firebase::firestore::jni::Method<SnapshotMetadataInternal>","firebase::firestore::jni::MethodBase","firestore/src/jni/declaration.h"
"firebase::firestore::LoadBundleTaskProgressInternal","firebase::firestore::Wrapper","firestore/src/android/load_bundle_task_progress_android.h"
"firebase::firestore::jni::Constructor<Object>","firebase::firestore::jni::ConstructorBase","firestore/src/jni/declaration.h"
"firebase::firestore::FirestoreException","std::exception","firestore/src/android/firestore_exceptions_android.h"
"firebase::firestore::FirestoreInternalError","firebase::firestore::FirestoreException","firestore/src/android/firestore_exceptions_android.h"
"firebase::firestore::jni::Constructor<Throwable>","firebase::firestore::jni::ConstructorBase","firestore/src/jni/declaration.h"
"firebase::firestore::jni::Array<String>","firebase::firestore::jni::Object","firestore/src/jni/array.h"
"firebase::firestore::jni::Local<Array<String>>","firebase::firestore::jni::Array<String>","firestore/src/jni/ownership.h"
"firebase::firestore::jni::ArrayList","firebase::firestore::jni::List","firestore/src/jni/array_list.h"
"firebase::firestore::jni::Long","firebase::firestore::jni::Object","firestore/src/jni/long.h"
"firebase::firestore::jni::Double","firebase::firestore::jni::Object","firestore/src/jni/double.h"
"firebase::firestore::jni::Boolean","firebase::firestore::jni::Object","firestore/src/jni/boolean.h"
"firebase::firestore::jni::Local<ArrayList>","firebase::firestore::jni::ArrayList","firestore/src/jni/ownership.h"
"firebase::firestore::jni::Local<Boolean>","firebase::firestore::jni::Boolean","firestore/src/jni/ownership.h"
"firebase::firestore::jni::Local<Double>","firebase::firestore::jni::Double","firestore/src/jni/ownership.h"
"firebase::firestore::jni::Local<Iterator>","firebase::firestore::jni::Iterator","firestore/src/jni/ownership.h"
"firebase::firestore::jni::Local<Map>","firebase::firestore::jni::Map","firestore/src/jni/ownership.h"
"firebase::firestore::jni::Set","firebase::firestore::jni::Collection","firestore/src/jni/set.h"
"firebase::firestore::jni::Local<Set>","firebase::firestore::jni::Set","firestore/src/jni/ownership.h"
"firebase::firestore::jni::Local<List>","firebase::firestore::jni::List","firestore/src/jni/ownership.h"
"firebase::firestore::jni::Local<Long>","firebase::firestore::jni::Long","firestore/src/jni/ownership.h"
"firebase::firestore::Promise<PublicType, InternalType, FnEnumType>::Completer<LoadBundleTaskProgress, LoadBundleTaskProgressInternal, void>","firebase::firestore::Promise<PublicType, InternalType, FnEnumType>::CompleterBase<LoadBundleTaskProgress>","firestore/src/android/promise_android.h"
"firebase::firestore::Promise<PublicType, InternalType, FnEnumType>::Completer<Query, QueryInternal, void>","firebase::firestore::Promise<PublicType, InternalType, FnEnumType>::CompleterBase<Query>","firestore/src/android/promise_android.h"
"firebase::firestore::LambdaTransactionFunction","firebase::firestore::Promise<void, void, AsyncFn>::Completion","firestore/src/android/lambda_transaction_function.h"
"firebase::firestore::LambdaTransactionFunction","firebase::firestore::TransactionFunction","firestore/src/android/lambda_transaction_function.h"
"firebase::firestore::LoadBundleTaskInternal","firebase::firestore::jni::Task","firestore/src/android/load_bundle_task_android.h"
"firebase::firestore::jni::Local<LoadBundleTaskInternal>","firebase::firestore::LoadBundleTaskInternal","firestore/src/jni/ownership.h"
"firebase::firestore::jni::Global<HashMap>","firebase::firestore::jni::HashMap","firestore/src/jni/ownership.h"
"firebase::firestore::jni::StaticMethod<Task>","firebase::firestore::jni::StaticMethodBase","firestore/src/jni/declaration.h"
"firebase::firestore::jni::StaticMethod<void>","firebase::firestore::jni::StaticMethodBase","firestore/src/jni/declaration.h"
"firebase::firestore::jni::Method<LoadBundleTaskInternal>","firebase::firestore::jni::MethodBase","firestore/src/jni/declaration.h"
"firebase::firestore::jni::Method<SettingsInternal>","firebase::firestore::jni::MethodBase","firestore/src/jni/declaration.h"
"firebase::firestore::jni::Method<double>","firebase::firestore::jni::MethodBase","firestore/src/jni/declaration.h"
"firebase::firestore::jni::Constructor<GeoPointInternal>","firebase::firestore::jni::ConstructorBase","firestore/src/jni/declaration.h"
"firebase::firestore::LambdaEventListener<QuerySnapshot>","firebase::firestore::EventListener<QuerySnapshot>","firestore/src/android/lambda_event_listener.h"
"firebase::firestore::jni::Method<List>","firebase::firestore::jni::MethodBase","firestore/src/jni/declaration.h"
"firebase::firestore::Promise<PublicType, InternalType, FnEnumType>::Completer<QuerySnapshot, QuerySnapshotInternal, void>","firebase::firestore::Promise<PublicType, InternalType, FnEnumType>::CompleterBase<QuerySnapshot>","firestore/src/android/promise_android.h"
"firebase::firestore::jni::Constructor<TimestampInternal>","firebase::firestore::jni::ConstructorBase","firestore/src/jni/declaration.h"
"firebase::firestore::jni::Method<TransactionOptionsInternal>","firebase::firestore::jni::MethodBase","firestore/src/jni/declaration.h"
"firebase::firestore::jni::Method<TransactionOptionsBuilderInternal>","firebase::firestore::jni::MethodBase","firestore/src/jni/declaration.h"
"firebase::firestore::jni::Constructor<TransactionOptionsBuilderInternal>","firebase::firestore::jni::ConstructorBase","firestore/src/jni/declaration.h"
"firebase::firestore::jni::Constructor<ArrayList>","firebase::firestore::jni::ConstructorBase","firestore/src/jni/declaration.h"
"firebase::firestore::jni::Constructor<Boolean>","firebase::firestore::jni::ConstructorBase","firestore/src/jni/declaration.h"
"firebase::firestore::jni::Method<Iterator>","firebase::firestore::jni::MethodBase","firestore/src/jni/declaration.h"
"firebase::firestore::jni::Constructor<Double>","firebase::firestore::jni::ConstructorBase","firestore/src/jni/declaration.h"
"firebase::firestore::jni::Constructor<HashMap>","firebase::firestore::jni::ConstructorBase","firestore/src/jni/declaration.h"
"firebase::firestore::jni::Constructor<Integer>","firebase::firestore::jni::ConstructorBase","firestore/src/jni/declaration.h"
"firebase::firestore::jni::Constructor<Long>","firebase::firestore::jni::ConstructorBase","firestore/src/jni/declaration.h"
"firebase::firestore::jni::Method<Set>","firebase::firestore::jni::MethodBase","firestore/src/jni/declaration.h"
"firebase::firestore::jni::Global<String>","firebase::firestore::jni::String","firestore/src/jni/ownership.h"
"firebase::firestore::jni::Constructor<String>","firebase::firestore::jni::ConstructorBase","firestore/src/jni/declaration.h"
"firebase::firestore::jni::Method<Throwable>","firebase::firestore::jni::MethodBase","firestore/src/jni/declaration.h"
"firebase::firestore::CompositeFilterInternal","firebase::firestore::FilterInternal","firestore/src/main/composite_filter_main.h"
"firebase::firestore::UnaryFilterInternal","firebase::firestore::FilterInternal","firestore/src/main/unary_filter_main.h"
