"class_name","method_name","method_qualified","dependency_kind","type_name","type_qualified","file_path","line_number"
"firebase::auth::User","SendEmailVerificationBeforeUpdatingEmail","firebase::auth::User::SendEmailVerificationBeforeUpdatingEmail","return","Future<void>","Future<void>","auth/src/desktop/user_desktop.cc",762
"firebase::auth::User","UpdateUserProfile","firebase::auth::User::UpdateUserProfile","return","Future<void>","Future<void>","auth/src/desktop/user_desktop.cc",864
"firebase::auth::User","LinkWithCredential","firebase::auth::User::LinkWithCredential","return","Future<AuthResult>","Future<AuthResult>","auth/src/desktop/user_desktop.cc",917
"firebase::auth::User","Unlink","firebase::auth::User::Unlink","return","Future<AuthResult>","Future<AuthResult>","auth/src/desktop/user_desktop.cc",882
"firebase::auth::User","Reload","firebase::auth::User::Reload","return","Future<void>","Future<void>","auth/src/desktop/user_desktop.cc",797
"firebase::auth::User","provider_id","firebase::auth::User::provider_id","return","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/user_desktop.cc",1076
"firebase::auth::User","photo_url","firebase::auth::User::photo_url","return","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/user_desktop.cc",1068
"firebase::auth::User","display_name","firebase::auth::User::display_name","return","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/user_desktop.cc",1052
"firebase::auth::User","UpdatePhoneNumberCredential","firebase::auth::User::UpdatePhoneNumberCredential","return","Future<User>","Future<User>","auth/src/desktop/user_desktop.cc",1084
"firebase::auth::User","UpdatePassword","firebase::auth::User::UpdatePassword","return","Future<void>","Future<void>","auth/src/desktop/user_desktop.cc",838
"firebase::auth::User","ReloadLastResult","firebase::auth::User::ReloadLastResult","return","Future<void>","Future<void>","auth/src/user.cc",31
"firebase::auth::User","UpdatePhoneNumberCredentialLastResult","firebase::auth::User::UpdatePhoneNumberCredentialLastResult","return","Future<User>","Future<User>","auth/src/user.cc",33
"firebase::auth::User","UnlinkLastResult","firebase::auth::User::UnlinkLastResult","return","Future<AuthResult>","Future<AuthResult>","auth/src/user.cc",29
"firebase::auth::User","LinkWithProvider","firebase::auth::User::LinkWithProvider","return","Future<AuthResult>","Future<AuthResult>","auth/src/desktop/user_desktop.cc",930
"firebase::auth::User","LinkWithCredentialLastResult","firebase::auth::User::LinkWithCredentialLastResult","return","Future<AuthResult>","Future<AuthResult>","auth/src/user.cc",24
"firebase::auth::User","UpdateUserProfileLastResult","firebase::auth::User::UpdateUserProfileLastResult","return","Future<void>","Future<void>","auth/src/user.cc",30
"firebase::auth::User","SendEmailVerificationBeforeUpdatingEmailLastResult","firebase::auth::User::SendEmailVerificationBeforeUpdatingEmailLastResult","return","Future<void>","Future<void>","auth/src/user.cc",28
"firebase::auth::User","SendEmailVerificationLastResult","firebase::auth::User::SendEmailVerificationLastResult","return","Future<void>","Future<void>","auth/src/user.cc",27
"firebase::auth::User","ReauthenticateWithProvider","firebase::auth::User::ReauthenticateWithProvider","return","Future<AuthResult>","Future<AuthResult>","auth/src/desktop/user_desktop.cc",971
"firebase::auth::User","ReauthenticateAndRetrieveDataLastResult","firebase::auth::User::ReauthenticateAndRetrieveDataLastResult","return","Future<AuthResult>","Future<AuthResult>","auth/src/user.cc",26
"firebase::auth::User","ReauthenticateLastResult","firebase::auth::User::ReauthenticateLastResult","return","Future<void>","Future<void>","auth/src/user.cc",25
"firebase::auth::User","UpdatePasswordLastResult","firebase::auth::User::UpdatePasswordLastResult","return","Future<void>","Future<void>","auth/src/user.cc",23
"firebase::auth::User","provider_data","firebase::auth::User::provider_data","return","vector<UserInfoInterface, allocator<UserInfoInterface>>","vector<UserInfoInterface, allocator<UserInfoInterface>>","auth/src/desktop/user_desktop.cc",987
